"gender","age","attitude","points","deep","surf","stra"
"M",22,37,17,4.33,2.08,2.5
"M",21,42,23,3.75,3.67,3.75
"M",21,32,26,4.17,2.83,3.62
"F",20,50,28,4,3.42,4.12
"M",22,47,31,4,1.58,4.38
"F",20,36,27,4.58,2.92,2.62
"F",20,36,25,3.67,3,4
"M",24,29,23,3.67,2.92,2.75
"F",20,35,21,3.83,2.67,2.75
"F",19,40,27,2.58,3,1.38
"F",21,35,28,3.5,2.75,2.25
"F",21,32,23,3.08,3.08,3.62
"F",22,26,21,4.25,2.5,3.75
"F",25,20,25,3.17,2.33,4
"F",21,27,11,3.08,3,3.12
"F",22,32,19,4.17,3,3.25
"F",25,33,24,2.25,4,2.12
"F",20,39,28,3.33,3.25,2.88
"M",24,33,21,3.08,3.5,1.5
"F",20,30,24,2.75,3.5,2.5
"M",21,37,24,3.25,3.83,3.25
"F",20,25,20,4,2.92,3.62
"F",20,29,19,3.58,2.17,3.88
"M",31,39,30,4.08,1.67,3.88
"F",20,36,22,4.25,2.08,2.38
"F",22,29,16,3.42,2.83,3
"F",22,21,16,3.08,3.42,3.38
"M",21,31,19,3.5,3.33,2.75
"M",22,40,30,3.67,2.58,4.5
"F",21,31,23,4.25,2.83,2.62
"F",21,23,19,4.25,3.33,2.75
"F",21,28,18,3.83,3,3.25
"F",21,37,28,4.42,2.58,4.12
"F",20,26,21,3.5,2.42,3.38
"F",21,24,19,3.58,3.58,2.75
"F",25,30,27,3.67,2.08,4.12
"M",21,28,24,2.08,4.33,3.25
"F",24,29,21,4.25,2.67,2.88
"F",20,24,20,3.58,3,2.88
"M",21,31,28,4,2.67,2.38
"F",20,19,12,3.33,2.17,3.88
"F",20,20,21,3.5,2.67,2.12
"F",18,38,28,3.17,2.25,4
"F",21,34,31,3.58,2.67,3.25
"F",19,37,18,3.42,3.33,2.62
"F",21,29,25,4.25,3.5,2.75
"F",20,23,19,3.25,2.75,4
"M",21,41,21,4.42,2,3
"F",20,27,16,3.25,2.83,3.38
"F",21,35,7,3.92,3.5,3.88
"F",20,34,21,3.58,2.5,3.25
"F",18,32,17,4.5,3.17,3.38
"M",22,33,22,3.58,3.08,4.12
"F",22,33,18,3.67,2.92,3.5
"M",24,35,25,2.58,3.17,2
"F",19,32,24,4.17,2.5,3.62
"F",20,31,23,3.25,3.83,3.38
"F",20,28,23,4.33,2.25,2.12
"F",17,17,26,3.92,3.42,4.62
"M",19,19,12,2.67,3.75,2.5
"F",20,35,32,3.08,3,2.88
"F",20,24,22,3.75,2.58,2.75
"F",20,21,20,4.17,3.33,4
"F",20,29,21,4.17,2.83,2.38
"F",19,19,23,3.25,3,3.88
"F",19,20,20,4.08,2.83,3.38
"F",22,42,28,2.92,3.17,1.75
"M",35,41,31,3.83,2.75,3
"F",18,37,18,3.17,3.42,2.62
"F",19,36,30,3.42,3,2.62
"M",21,18,19,4.08,2.67,3.38
